2017-07-19 12:43:29,351 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.bridgeLabz:TodoApp:0.0.1-SNAPSHOT @ /home/bridgeit/Documents/todoApp/TodoApp/pom.xml.
2017-07-19 12:43:30,359 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-19 12:43:30,372 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-07-19 12:43:30,379 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-19 12:43:30,382 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bridgeit/Documents/todoApp/TodoApp/src/test/resources
2017-07-19 12:43:30,794 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.bridgeLabz:TodoApp:0.0.1-SNAPSHOT @ /home/bridgeit/Documents/todoApp/TodoApp/pom.xml.
2017-07-19 12:44:19,385 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-19 12:44:19,388 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-07-19 12:44:19,394 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-19 12:44:19,395 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bridgeit/Documents/todoApp/TodoApp/src/test/resources
2017-07-19 12:44:51,407 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-19 12:44:51,408 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-07-19 12:44:51,409 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-19 12:44:51,410 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bridgeit/Documents/todoApp/TodoApp/src/test/resources
2017-07-19 12:45:17,062 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-19 12:45:17,063 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-07-19 12:45:17,064 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-19 12:45:17,064 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bridgeit/Documents/todoApp/TodoApp/src/test/resources
2017-07-19 12:45:45,861 [Worker-6] INFO  o.e.m.i.launch.MavenLaunchDelegate - /home/bridgeit/Documents/todoApp/TodoApp
2017-07-19 12:45:45,862 [Worker-6] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean
2017-07-19 12:45:47,383 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-19 12:45:47,384 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-07-19 12:45:47,385 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
