127.0.0.1 - - [29/Aug/2017:10:43:39 +0530] "GET / HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [29/Aug/2017:10:43:40 +0530] "GET /TodoApp/ HTTP/1.1" 200 2242
0:0:0:0:0:0:0:1 - - [29/Aug/2017:10:43:40 +0530] "GET /TodoApp/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2017:10:43:40 +0530] "GET /TodoApp/css/loginRegfile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2017:10:43:40 +0530] "GET /TodoApp/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2017:10:43:40 +0530] "GET /TodoApp/js/controller/pincontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2017:10:43:40 +0530] "GET /TodoApp/js/controller/homeController.js HTTP/1.1" 200 21025
0:0:0:0:0:0:0:1 - - [29/Aug/2017:10:43:41 +0530] "GET /TodoApp/templates/userLogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2017:10:43:56 +0530] "POST /TodoApp/userlogin HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [29/Aug/2017:10:43:56 +0530] "GET /TodoApp/templates/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2017:10:43:57 +0530] "POST /TodoApp/app/getAllTodoTask HTTP/1.1" 200 12889
0:0:0:0:0:0:0:1 - - [29/Aug/2017:10:43:57 +0530] "GET /TodoApp/templates/archive.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2017:10:43:57 +0530] "GET /TodoApp/templates/reminder.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2017:10:43:57 +0530] "GET /TodoApp/templates/trash.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2017:10:43:57 +0530] "GET /TodoApp/templates/pin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2017:10:43:57 +0530] "GET /TodoApp/images/icons8-Notification-48.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2017:10:52:09 +0530] "GET /TodoApp/ HTTP/1.1" 200 2242
0:0:0:0:0:0:0:1 - - [29/Aug/2017:10:52:44 +0530] "GET /TodoApp/bower_components/angular-bootstrap-datetimepicker/src/css/datetimepicker.css.map HTTP/1.1" 200 3992
0:0:0:0:0:0:0:1 - - [29/Aug/2017:10:52:44 +0530] "GET /TodoApp/bower_components/bootstrap-css-only/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [29/Aug/2017:10:52:44 +0530] "GET /TodoApp/bower_components/angular-ui-router/release/angular-ui-router.js.map HTTP/1.1" 200 337546
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:01 +0530] "GET /TodoApp/ HTTP/1.1" 200 2242
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:01 +0530] "GET /TodoApp/css/loginRegfile.css HTTP/1.1" 200 2270
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:01 +0530] "GET /TodoApp/bower_components/bootstrap-css-only/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:01 +0530] "GET /TodoApp/css/home.css HTTP/1.1" 200 6777
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:01 +0530] "GET /TodoApp/bower_components/angular-bootstrap-datetimepicker/src/css/datetimepicker.css HTTP/1.1" 200 3127
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:01 +0530] "GET /TodoApp/bower_components/angular-bootstrap/ui-bootstrap-csp.css HTTP/1.1" 200 3989
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:01 +0530] "GET /TodoApp/js/app.js HTTP/1.1" 200 2253
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:01 +0530] "GET /TodoApp/js/controller/homeController.js HTTP/1.1" 200 21498
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:01 +0530] "GET /TodoApp/bower_components/bootstrap/dist/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:01 +0530] "GET /TodoApp/js/controller/userRegController.js HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:01 +0530] "GET /TodoApp/js/controller/userLoginController.js HTTP/1.1" 200 623
